company,website,category,score,subject,first_line,body,report_path,status
Tampa Bay Roofing Services,https://tampabayroofing.com/,Roofing,17,quick AI-search snapshot for Tampa Bay Roofing Services,"I reviewed Tampa Bay Roofing Services's public website for Roofing service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for Tampa Bay Roofing Services. It looks at whether AI-assisted buyers can quickly understand your Roofing services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/tampa-bay-roofing-services-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/tampa-bay-roofing-services-snapshot.md,needs_human_approval
West Florida Roofing,https://westroofingfl.com/,Roofing,15,quick AI-search snapshot for West Florida Roofing,"I reviewed West Florida Roofing's public website for Roofing service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for West Florida Roofing. It looks at whether AI-assisted buyers can quickly understand your Roofing services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/west-florida-roofing-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/west-florida-roofing-snapshot.md,needs_human_approval
Sutter Roofing Tampa,https://sutterroofing.com/tampa-location/,Roofing,14,quick AI-search snapshot for Sutter Roofing Tampa,"I reviewed Sutter Roofing Tampa's public website for Roofing service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for Sutter Roofing Tampa. It looks at whether AI-assisted buyers can quickly understand your Roofing services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/sutter-roofing-tampa-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/sutter-roofing-tampa-snapshot.md,needs_human_approval
Southern Roofing Services,https://southernroofingcompany.com/,Roofing,12,quick AI-search snapshot for Southern Roofing Services,"I reviewed Southern Roofing Services's public website for Roofing service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for Southern Roofing Services. It looks at whether AI-assisted buyers can quickly understand your Roofing services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/southern-roofing-services-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/southern-roofing-services-snapshot.md,needs_human_approval
Forest Air,https://www.forestairac.com/,HVAC,23,quick AI-search snapshot for Forest Air,"I reviewed Forest Air's public website for HVAC service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for Forest Air. It looks at whether AI-assisted buyers can quickly understand your HVAC services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/forest-air-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/forest-air-snapshot.md,needs_human_approval
Phillips Air Conditioning & Heating,https://www.airphillips.com/,HVAC,20,quick AI-search snapshot for Phillips Air Conditioning & Heating,"I reviewed Phillips Air Conditioning & Heating's public website for HVAC service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for Phillips Air Conditioning & Heating. It looks at whether AI-assisted buyers can quickly understand your HVAC services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/phillips-air-conditioning-heating-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/phillips-air-conditioning-heating-snapshot.md,needs_human_approval
Marlin James Air Conditioning & Heating,https://www.marlinjames.com/st-petersburg/,HVAC,19,quick AI-search snapshot for Marlin James Air Conditioning & Heating,"I reviewed Marlin James Air Conditioning & Heating's public website for HVAC service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for Marlin James Air Conditioning & Heating. It looks at whether AI-assisted buyers can quickly understand your HVAC services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/marlin-james-air-conditioning-heating-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/marlin-james-air-conditioning-heating-snapshot.md,needs_human_approval
Kron & West,https://www.kronwest.com/,HVAC,22,quick AI-search snapshot for Kron & West,"I reviewed Kron & West's public website for HVAC service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for Kron & West. It looks at whether AI-assisted buyers can quickly understand your HVAC services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/kron-west-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/kron-west-snapshot.md,needs_human_approval
Clearwater Plumbing,https://clearwaterplumbing.com/,Plumbing,15,quick AI-search snapshot for Clearwater Plumbing,"I reviewed Clearwater Plumbing's public website for Plumbing service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for Clearwater Plumbing. It looks at whether AI-assisted buyers can quickly understand your Plumbing services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/clearwater-plumbing-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/clearwater-plumbing-snapshot.md,needs_human_approval
Clearwater Plumbing Co,https://clearwaterplumbingco.com/,Plumbing,17,quick AI-search snapshot for Clearwater Plumbing Co,"I reviewed Clearwater Plumbing Co's public website for Plumbing service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for Clearwater Plumbing Co. It looks at whether AI-assisted buyers can quickly understand your Plumbing services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/clearwater-plumbing-co-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/clearwater-plumbing-co-snapshot.md,needs_human_approval
